ID,N,K,mst_brkga__f,st_brkga__f,greedy_brkga__f,skater__f,redcap__f,schc__f,azp_greedy__f,azp_sa__f,azp_tabu__f,mst_brkga__time,st_brkga__time,greedy_brkga__time,skater__time,redcap__time,schc__time,azp_greedy__time,azp_sa__time,azp_tabu__time,mst_brkga__last_gen,st_brkga__last_gen,greedy_brkga__last_gen
08__10__0,67,10,4.895245746506179,4.8711391409661005,4.871139140966098,5.664488741847903,5.580199871291581,5.286735586597359,13.23389917337332,13.395116207193356,11.60864753987315,16.603507041931152,27.59845924377441,95.48692178726196,0.0019974708557128,0.0020132064819335,0.0009996891021728,0.0019869804382324,0.0129990577697753,0.0080008506774902,187,181,160
08__10__1,67,10,4.871139140966107,4.8711391409661005,4.871139140966099,5.664488741847903,5.580199871291581,5.286735586597359,7.822244767612581,6.631989894644729,7.724992744391823,31.00953364372253,27.908961057662964,98.562153339386,0.0010778903961181,0.0021071434020996,0.0010006427764892,0.0010004043579101,0.0091307163238525,0.0040102005004882,356,176,171
08__15__0,67,15,2.870936881324236,2.870936881324236,2.848773877256476,3.31565089753382,3.220192752941734,3.359717776432284,13.23389917337332,13.395116207193356,11.60864753987315,21.40829467773437,36.50254845619202,91.60888743400574,0.0019974708557128,0.002000093460083,0.0010013580322265,0.0019986629486083,0.0151007175445556,0.0102605819702148,277,187,186
08__15__1,67,15,2.870936881324236,2.848773877256476,2.870936881324236,3.31565089753382,3.220192752941734,3.359717776432284,6.451129605724266,4.440722648616042,5.33941835793984,15.674350023269652,29.97388195991516,98.60084319114684,0.0019991397857666,0.002333641052246,0.0010912418365478,0.0016314983367919,0.0075135231018066,0.0115587711334228,209,154,189
08__20__0,67,20,1.8755020859543068,1.8755020859543048,1.8942771847483144,1.9969666393271992,1.9493902435571755,2.205496357993527,13.23389917337332,13.395116207193356,11.60864753987315,14.699313879013062,43.19093561172485,103.92469835281372,0.0019962787628173,0.002446174621582,0.0010011196136474,0.0015170574188232,0.0129985809326171,0.0110020637512207,233,203,182
08__20__1,67,20,1.9525078807014489,1.9203201101236669,1.8755020859543048,1.9969666393271992,1.9493902435571755,2.205496357993527,3.769934055577196,3.706731086427804,3.398983474700652,14.772090435028076,41.40821886062622,91.89355611801147,0.0009992122650146,0.0009996891021728,0.0,0.0019991397857666,0.0062394142150878,0.0069987773895263,227,195,202
09__3__0,16,3,0.8363478616229417,0.8363478616229414,0.8363478616229412,0.8363478616229417,0.8363478616229417,1.3546295163751747,1.6967304749890135,1.6967304749890135,1.6967304749890135,2.1789257526397705,2.4491124153137207,8.54609489440918,0.0010702610015869,0.0,0.0,0.0,0.0010192394256591,0.0,100,100,100
09__3__1,16,3,0.8363478616229417,0.8363478616229414,0.8363478616229412,0.8363478616229417,0.8363478616229417,1.3546295163751747,0.8363478616229417,0.8363478616229417,0.8363478616229417,2.4138524532318115,2.566591501235962,8.175890445709229,0.0,0.0,0.0,0.0009999275207519,0.0,0.0011124610900878,101,100,100
09__5__0,16,5,0.4407079747712543,0.4407079747712542,0.440707974771254,0.4407079747712543,0.4407079747712543,0.4407079747712543,1.6967304749890135,1.6967304749890135,1.6967304749890135,2.1251018047332764,2.7529146671295166,7.29283881187439,0.0010015964508056,0.0,0.0,0.0009982585906982,0.0,0.0,101,100,100
09__5__1,16,5,0.4407079747712543,0.4407079747712542,0.440707974771254,0.4407079747712543,0.4407079747712543,0.4407079747712543,0.4620437915603727,0.4407079747712543,0.4620437915603727,2.0451443195343018,2.5833351612091064,7.174181699752808,0.0,0.0,0.0,0.0,0.0,0.0009992122650146,100,100,100
09__7__0,16,7,0.2957335388535191,0.2957335388535191,0.295733538853519,0.2993135502621047,0.2993135502621047,0.3163237987594233,1.6967304749890135,1.6967304749890135,1.6967304749890135,2.017342329025269,3.080796003341675,6.870688199996948,0.0,0.0,0.0009961128234863,0.0,0.0,0.0010745525360107,105,103,100
