ID,N,K,mst_brkga__f,st_brkga__f,greedy_brkga__f,skater__f,redcap__f,schc__f,azp_greedy__f,azp_sa__f,azp_tabu__f,mst_brkga__time,st_brkga__time,greedy_brkga__time,skater__time,redcap__time,schc__time,azp_greedy__time,azp_sa__time,azp_tabu__time,mst_brkga__last_gen,st_brkga__last_gen,greedy_brkga__last_gen
23__5__1,11,5,0.168526335,0.168526335,0.168526335,0.185265174,0.185265174,0.185265174,0.186503529,0.186503529,0.186503529,1.602246046,1.789174795,4.134398222,0.001000404,0.0,0.0,0.0,0.000998974,0.0,100,101,100
23__7__0,11,7,0.061133946,0.061133946,0.061133946,0.061133946,0.061133946,0.069834775,0.754714222,0.754714222,0.754714222,1.480679035,1.9538517,3.613077402,0.0,0.0,0.0,0.0,0.0,0.0,100,100,100
23__7__1,11,7,0.061133946,0.061133946,0.061133946,0.061133946,0.061133946,0.069834775,0.125914612,0.071733118,0.071733118,1.519588232,1.963111162,3.674706697,0.0,0.0,0.0,0.0,0.001001596,0.0,100,100,100
24__5__0,58,5,6.67004327,6.285357393,6.285357393,6.778343562,6.778343562,7.243734152,10.70046042,10.70046042,10.70046042,17.69895792,24.90400553,52.18540645,0.001295567,0.001000881,0.000969172,0.0,0.0,0.0,167,245,127
24__5__1,58,5,6.535001407,6.311760428,6.285357393,6.778343562,6.778343562,7.243734152,8.0680177,6.957378271,7.433250091,20.13095355,15.08968544,53.25490761,0.00107336,0.001002312,0.001000881,0.001012802,0.011214733,0.002916098,198,149,132
24__7__0,58,7,5.412870513,5.279708049,5.169079233,5.641103054,5.641103054,6.042080652,10.70046042,10.70046042,10.70046042,18.04976082,25.35236716,62.11958599,0.001000404,0.002001047,0.001001358,0.0,0.0,0.0,230,230,153
24__7__1,58,7,5.279708049,5.279708049,5.279708049,5.641103054,5.641103054,6.042080652,7.149400556,5.975428864,6.553108991,14.12869239,23.41221786,63.12353539,0.001000166,0.000999928,0.0,0.00100112,0.005998611,0.003998041,177,215,160
24__10__0,58,10,3.955888795,3.955888795,3.955888795,4.330857131,4.457246363,4.368504977,10.70046042,10.70046042,10.70046042,9.462934732,15.91425633,58.60400128,0.001013279,0.002075911,0.001021862,0.0,0.0,0.0,135,130,157
24__10__1,58,10,3.955888795,3.955888795,3.955888795,4.330857131,4.457246363,4.368504977,4.256071472,4.189705565,4.686111135,17.95172596,15.80140901,51.26804972,0.001000643,0.000999451,0.000999928,0.001001835,0.003998041,0.00401926,268,129,138
25__3__0,18,3,0.920355247,0.920355247,0.920355247,0.920355247,0.920355247,1.034254454,1.797765467,1.797765467,1.797765467,2.361750364,2.624513388,8.574155092,0.000998735,0.0,0.0,0.0,0.000999212,0.0,100,101,100
25__3__1,18,3,0.920355247,0.920355247,0.920355247,0.920355247,0.920355247,1.034254454,1.326807327,1.326807327,1.326807327,2.393408298,2.679592133,8.321653843,0.001015186,0.0,0.0,0.000983953,0.0,0.001012325,101,102,100
25__5__0,18,5,0.530073417,0.532755965,0.530073417,0.530073417,0.530073417,0.532755965,1.797765467,1.797765467,1.797765467,2.198009729,3.043501616,8.111360788,0.001001835,0.0,0.0,0.0,0.0,0.0,103,111,109
25__5__1,18,5,0.530073417,0.532755965,0.530073417,0.530073417,0.530073417,0.532755965,0.532755965,0.532755965,0.532755965,2.357437611,3.284435511,8.953511,0.0,0.000999689,0.0,0.0,0.00107193,0.001000404,108,122,119
25__7__0,18,7,0.340911826,0.340911826,0.340911826,0.372472859,0.372472859,0.340911826,1.797765467,1.797765467,1.797765467,2.14334774,3.206386089,6.882552147,0.0,0.001028299,0.0,0.0,0.00097084,0.0,107,106,102
25__7__1,18,7,0.340911826,0.340911826,0.340911826,0.372472859,0.372472859,0.340911826,0.384438995,0.384438995,0.384438995,2.130706072,3.108752966,6.948528528,0.0,0.0,0.0,0.0,0.000912905,0.001075268,106,103,101
26__10__0,72,10,5.124655363,5.176657265,4.881035601,5.980485347,5.694440029,5.789879975,13.29267726,13.29267726,13.29267726,20.92638302,35.2036581,168.7011292,0.001514196,0.00200057,0.001000881,0.001000404,0.000999689,0.000999928,197,213,290
26__10__1,72,10,5.176657265,5.176657265,4.881035601,5.980485347,5.694440029,5.789879975,5.765900664,5.124129641,6.735978938,27.42298794,28.05907297,128.5409904,0.001972675,0.001012087,0.000999212,0.001943588,0.013122082,0.008003712,269,171,216
